time_ms	kiln
29110606.0	305.75
29115607.0	305.7535
29120608.0	305.78
29125609.0	305.9968
29130610.0	305.7765
29135611.0	306
29140612.0	306
29145613.0	306
29150614.0	306
29155615.0	306
29160616.0	306
29165617.0	306
29170618.0	306
29175619.0	306
29180620.0	306.22
29185621.0	306
29190622.0	306.0268
29195623.0	306.2235
29200624.0	306.0269
29205625.0	306.25
29210626.0	306.2235
29215627.0	306.25
29220628.0	306.1971
29225629.0	306.25
29230630.0	306.25
29235631.0	306.25
29240632.0	306.25
29245633.0	306.25
29250634.0	306.25
29255635.0	306.25
29260636.0	306.2535
29265637.0	306.25
29270638.0	306.4999
29275639.0	306.5
29280640.0	306.4996
29285641.0	306.4999
29290642.0	306.4999
29295643.0	306.4999
29300644.0	306.4999
29305645.0	306.4999
29310646.0	306.4999
29315647.0	306.4999
29320648.0	306.4999
29325649.0	306.72
29330650.0	306.5003
29335651.0	306.5036
29340652.0	306.5296
29345653.0	306.5296
29350657.0	306.75
29355658.0	306.53
29360659.0	306.75
29365660.0	306.7236
29370661.0	306.75
29375662.0	306.75
29380663.0	306.75
29385664.0	306.75
29390665.0	306.75
29395666.0	306.75
29400667.0	306.75
29405668.0	306.7765
29410669.0	306.75
29415670.0	306.9968
29420671.0	306.9704
29425672.0	306.9968
29430673.0	306.9999
29435674.0	307
29440675.0	307
29445676.0	306.9471
29450677.0	307
29455678.0	307
29460679.0	307
29465680.0	307
29470681.0	307
29475682.0	307.2199
29480683.0	307.0264
29485684.0	307.0001
29490685.0	307.2199
29495686.0	307.0296
29500687.0	307.2235
29505688.0	307.2468
29510689.0	307.25
29515690.0	307.2236
29520691.0	307.2236
29525692.0	307.25
29530693.0	307.25
29535694.0	307.25
29540695.0	307.25
29545696.0	307.25
29550697.0	307.25
29555698.0	307.25
29560699.0	307.2764
29565700.0	307.2504
29570701.0	307.4732
29575702.0	307.4736
29580703.0	307.4734
29585704.0	307.5
29590705.0	307.4732
29595706.0	307.5
29600707.0	307.5
29605708.0	307.5
29610709.0	307.5
29615710.0	307.5
29620711.0	307.5
29625712.0	307.5
29630713.0	307.5
29635714.0	307.5
29640715.0	307.5
29645716.0	307.5
29650717.0	307.5032
29655718.0	307.5004
29660719.0	307.7468
29665720.0	307.5269
29670721.0	307.75
29675722.0	307.75
29680723.0	307.5265
29685724.0	307.5301
29690725.0	307.75
29695726.0	307.75
29700727.0	307.9699
29705728.0	307.75
29710729.0	307.75
29715730.0	307.75
29720731.0	307.7504
29725732.0	307.9968
29730733.0	308
29735734.0	307.9703
29740735.0	307.9999
29745736.0	307.9968
29750737.0	308
29755738.0	307.9968
29760739.0	308
29765740.0	308
29770741.0	308
29775742.0	308
29780743.0	308
29785744.0	308.0264
29790745.0	305.1407
29795746.0	308.0295
29800747.0	308.2232
29805748.0	308.2236
29810749.0	308.0036
29815750.0	308.2496
29820751.0	308.25
29825752.0	308.2496
29830753.0	308.25
29835754.0	308.2236
29840755.0	308.25
29845756.0	308.2405
29850760.0	308.25
29855761.0	308.25
29860762.0	308.25
29865763.0	308.25
29870764.0	308.25
29875765.0	308.2532
29880766.0	308.25
29885767.0	308.2765
29890768.0	308.2472
29895769.0	308.2769
29900770.0	308.2801
29905771.0	308.4996
29910772.0	308.5
29915773.0	308.4968
29920774.0	308.5
29925775.0	308.4736
29930776.0	308.5
29935777.0	308.5
29940778.0	308.5
29945779.0	308.5
29950780.0	308.5
29955781.0	308.5
29960782.0	308.5
29965783.0	308.5
29970784.0	308.5
29975785.0	308.7231
29980786.0	308.7231
29985787.0	308.72
29990788.0	308.7199
29995789.0	308.53
30000790.0	308.53
30005791.0	308.6144
30010792.0	308.75
30015793.0	308.7464
30020794.0	308.75
30025795.0	308.7468
30030796.0	308.75
30035797.0	308.75
30040798.0	308.75
30045799.0	308.75
30050800.0	308.75
30055801.0	308.75
30060802.0	308.75
30065803.0	308.97
30070804.0	308.75
30075805.0	308.9999
30080806.0	308.9704
30085807.0	309
30090808.0	308.7768
30095809.0	309
30100810.0	308.7535
30105811.0	308.9968
30110812.0	309
30115813.0	308.9968
30120814.0	309
30125815.0	309
30130816.0	309
30135817.0	309
30140818.0	309
30145819.0	309
30150820.0	309
30155821.0	309.0269
30160822.0	309.0265
30165823.0	309.2496
30170824.0	309.2205
30175825.0	309.0297
30180826.0	309.0032
30185827.0	309.2499
30190828.0	309.2499
30195829.0	309.2499
30200830.0	309.25
30205831.0	309.197
30210832.0	309.25
30215833.0	309.2236
30220834.0	309.25
30225835.0	309.25
30230836.0	309.25
30235837.0	309.25
30240838.0	309.25
30245839.0	309.25
30250840.0	309.4699
30255841.0	309.25
30260842.0	309.25
30265843.0	309.2536
30270844.0	309.25
30275845.0	309.4968
30280846.0	309.2501
30285847.0	309.2795
30290848.0	309.5
30295849.0	309.4996
30300850.0	309.5
30305851.0	309.4968
30310852.0	309.5
30315853.0	309.5
30320854.0	309.5
30325855.0	309.5
30330856.0	309.5
30335857.0	309.5
30340858.0	309.72
30345859.0	309.5264
30350863.0	309.5
30355864.0	309.5004
